,Name,Global_Sales,Critic_Score
0,Call of Duty: Black Ops 3,14.63,81
1,Pokemon X/Pokemon Y,14.6,87
2,Mario Kart 7,12.66,85
3,Grand Theft Auto V,12.61,97
4,Pokemon Omega Ruby/Pokemon Alpha Sapphire,11.68,83
5,Super Mario 3D Land,10.81,90
6,New Super Mario Bros. 2,9.9,78
7,Animal Crossing: New Leaf,9.16,88
8,FIFA 16,8.57,82
9,Star Wars Battlefront (2015),7.98,73
10,Call of Duty: Advanced Warfare,7.66,83
11,FIFA 17,7.59,85
12,Super Smash Bros. for Wii U and 3DS,7.55,92
13,Call of Duty: Black Ops 3,7.39,81
14,Fallout 4,7.16,87
15,Pokemon Sun/Moon,7.14,87
16,Mario Kart 8,7.09,88
17,FIFA 15,6.08,82
18,Destiny,5.64,76
19,Grand Theft Auto V,5.48,97
20,Uncharted 4: A Thief's End,5.38,93
21,Call of Duty: Advanced Warfare,5.27,81
22,Tomodachi Life,5.23,71
23,New Super Mario Bros. U,5.22,84
24,Diablo III,5.14,88
25,Super Smash Bros. for Wii U and 3DS,4.87,92
26,StarCraft II: Wings of Liberty,4.84,93
27,The Last of Us,4.71,95
28,Uncharted: The Nathan Drake Collection,4.62,86
29,Luigi's Mansion: Dark Moon,4.59,86
30,Halo 5: Guardians,4.48,84
31,Call of Duty: Infinite Warfare,4.46,77
32,Splatoon,4.43,81
33,Nintendo Land,4.42,77
34,The Legend of Zelda: Ocarina of Time,4.33,94
35,Super Mario 3D World,4.32,93
36,Minecraft,4.32,89
37,Fallout 4,4.22,88
38,Battlefield 1,4.08,88
39,Watch Dogs,4.05,80
40,Far Cry 4,4.04,85
41,The Witcher 3: Wild Hunt,3.97,92
42,Assassin's Creed: Unity,3.96,70
43,Batman: Arkham Knight,3.95,87
44,Monster Hunter 4 Ultimate,3.89,86
45,The Elder Scrolls V: Skyrim,3.88,94
46,NBA 2K16,3.88,87
47,Nintendogs + cats,3.85,71
48,Call of Duty: Ghosts,3.83,78
49,Tom Clancy's The Division,3.8,80
50,Star Wars Battlefront (2015),3.66,75
51,Battlefield 4,3.59,85
52,Assassin's Creed: Unity,3.5,72
53,Monster Hunter 4,3.44,86
54,Metal Gear Solid V: The Phantom Pain,3.41,93
55,Assassin's Creed Syndicate,3.39,76
56,Destiny,3.37,75
57,Monster Hunter X,3.32,80
58,Yokai Watch 2 Ganso/Honke,3.28,72
59,Gears of War: Ultimate Edition,3.28,82
60,FIFA 16,3.25,84
61,Madden NFL 16,3.24,83
62,Halo: The Master Chief Collection,3.23,85
63,Super Mario Maker,3.21,88
64,The Legend of Zelda: A Link Between Worlds,3.1,91
65,Animal Crossing: Happy Home Designer,3.05,66
66,The Sims 4,3.05,70
67,FIFA 14,3.01,87
68,Star Wars: The Old Republic,2.96,85
69,Middle-Earth: Shadow of Mordor,2.96,84
70,Titanfall,2.95,86
71,Call of Duty: Ghosts,2.92,78
72,Assassin's Creed IV: Black Flag,2.85,83
73,inFAMOUS: Second Son,2.79,80
74,Monster Hunter Tri,2.79,79
75,Battlefield 3,2.78,89
76,Mortal Kombat X,2.78,83
77,Minecraft,2.76,88
