Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count
Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,6.03,5.86,0.36,2.38,14.63,81,87
Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5.28,4.19,4.35,0.78,14.6,87,71
Mario Kart 7,3DS,2011,Racing,Nintendo,5.03,4.02,2.69,0.91,12.66,85,73
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.96,6.31,0.38,1.97,12.61,97,66
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,4.35,3.49,3.1,0.74,11.68,83,61
Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,3,2.14,0.78,10.81,90,82
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,3.14,2.47,0.63,9.9,78,70
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.03,2.36,4.39,0.39,9.16,88,70
FIFA 16,PS4,2015,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82,42
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2.99,3.49,0.22,1.28,7.98,73,59
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.81,3.48,0.14,1.23,7.66,83,39
FIFA 17,PS4,2016,Sports,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85,41
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3.27,1.37,2.43,0.48,7.55,92,77
Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,4.59,2.11,0.01,0.68,7.39,81,15
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,87,58
Pokemon Sun/Moon,3DS,2016,Role-Playing,Nintendo,2.98,1.45,2.26,0.45,7.14,87,87
Mario Kart 8,WiiU,2014,Racing,Nintendo,3.15,2.15,1.28,0.51,7.09,88,82
FIFA 15,PS4,2014,Sports,Electronic Arts,0.8,4.33,0.05,0.9,6.08,82,47
Destiny,PS4,2014,Shooter,Activision,2.49,2.07,0.16,0.92,5.64,76,95
Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,2.81,2.19,0,0.47,5.48,97,14
Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38,93,113
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,3.22,1.55,0.01,0.48,5.27,81,53
